ID,Model_A,Model_B,Model_C,Model_D
Phi-4-mini_0,Steered_V2,LoRA,System_Prompt,Vanilla
Phi-4-mini_1,Steered_V2,LoRA,System_Prompt,Vanilla
Phi-4-mini_2,System_Prompt,LoRA,Steered_V2,Vanilla
Phi-4-mini_3,Vanilla,LoRA,Steered_V2,System_Prompt
Phi-4-mini_4,Steered_V2,LoRA,Vanilla,System_Prompt
Phi-4-mini_5,LoRA,Steered_V2,System_Prompt,Vanilla
Phi-4-mini_6,Steered_V2,LoRA,System_Prompt,Vanilla
Phi-4-mini_7,Vanilla,Steered_V2,LoRA,System_Prompt
Phi-4-mini_8,System_Prompt,Steered_V2,LoRA,Vanilla
Phi-4-mini_9,Vanilla,LoRA,System_Prompt,Steered_V2
Phi-4-mini_10,System_Prompt,LoRA,Vanilla,Steered_V2
Phi-4-mini_11,System_Prompt,Vanilla,Steered_V2,LoRA
Phi-4-mini_12,Vanilla,Steered_V2,System_Prompt,LoRA
Phi-4-mini_13,Steered_V2,System_Prompt,LoRA,Vanilla
Phi-4-mini_14,Vanilla,System_Prompt,LoRA,Steered_V2
Phi-4-mini_15,Steered_V2,LoRA,Vanilla,System_Prompt
Phi-4-mini_16,Vanilla,Steered_V2,System_Prompt,LoRA
Phi-4-mini_17,LoRA,Steered_V2,Vanilla,System_Prompt
Phi-4-mini_18,Steered_V2,System_Prompt,Vanilla,LoRA
Phi-4-mini_19,Steered_V2,Vanilla,LoRA,System_Prompt
Phi-4-mini_20,LoRA,Steered_V2,Vanilla,System_Prompt
Phi-4-mini_21,System_Prompt,LoRA,Steered_V2,Vanilla
Phi-4-mini_22,System_Prompt,Vanilla,LoRA,Steered_V2
Phi-4-mini_23,Steered_V2,Vanilla,LoRA,System_Prompt
Phi-4-mini_24,System_Prompt,LoRA,Vanilla,Steered_V2
Phi-4-mini_25,Steered_V2,Vanilla,System_Prompt,LoRA
Phi-4-mini_26,Steered_V2,LoRA,Vanilla,System_Prompt
Phi-4-mini_27,System_Prompt,Steered_V2,Vanilla,LoRA
